,mean,std,STM,reasoning,verbal
spatial_span,5.656267725467952,1.0641171316246614,0.7196586044682974,0.1959626017310032,0.07867048785799037
grammatical_reasoning,17.873284174702214,5.181956468486724,0.061989656157073976,0.4855822256511766,0.5551631852298515
double_trouble,25.078956324446967,15.246425428907008,0.2713334402758982,0.3526551489098414,0.4732976426544297
odd_one_out,15.84208735110607,2.132128204911839,0.19068912175829603,0.5877740748027758,-0.1024532757690516
monkey_ladder,7.696880317640385,1.1571574704742529,0.7215326789885438,0.16255737943218151,0.036687918843408544
rotations,76.11764038570618,34.94512377133173,0.1980797086211028,0.6293519770907723,0.04723020038164612
feature_match,114.05672149744753,29.508794670884825,0.29182112228043366,0.5969548580120008,0.15409877006255607
digit_span,6.657855927396484,1.3975120311218971,0.16438778614307883,-0.0636592572831691,0.8054039773365322
spatial_planning,19.009529211571184,9.731727098270186,0.48450888434449974,0.42700493014915974,0.06322929581304694
paired_associates,4.66114577424844,0.9847280875260009,0.5538242790052742,0.02295239560680906,0.3773508575187062
polygons,41.05694838343732,21.896862570110034,0.004694413167808466,0.6046569827420702,0.2539056708004701
token_search,7.20022688598979,2.137904948888505,0.5792588437493242,0.1870442327301558,0.19927954367481332
eigenvalues,,,3.7362409864341464,1.0514307836299015,0.9790053371829956
% variance,,,18.173302729031104,17.586729225320394,12.29561060604052
