,SF36_physical_functioning,SF36_role_limitations_physical,SF36_role_limitations_emotional,SF36_energy_fatigue,SF36_pain,GAD2,PHQ2,subj_memory,subj_baseline,WHO_COVID_severity,days_since_+test
SF36_physical_functioning,1.0,0.667590274148357,0.17018814986144484,0.6609184584883016,0.6678300887065971,0.19206902393104716,0.3530010579762587,0.4523096235742505,0.4423036356503362,-0.38336040847114766,-0.009228333656095752
SF36_role_limitations_physical,0.667590274148357,1.0,0.28544781553135373,0.645126747186248,0.5657879788046125,0.25422420124437106,0.34951416448750305,0.430402737482869,0.5271324628007087,-0.373985573418952,0.07984309644633415
SF36_role_limitations_emotional,0.17018814986144484,0.28544781553135373,1.0,0.3675403016237812,0.23541677504001082,0.5172818304623574,0.5300623590679646,0.2865356402397355,0.3346399874149842,-0.14152226016009944,-0.0010310965723868014
SF36_energy_fatigue,0.6609184584883016,0.645126747186248,0.3675403016237812,1.0,0.5601516159431961,0.3829207948739507,0.515257230531779,0.5444425170392881,0.5702536408987359,-0.328413742446172,-0.005407593182371514
SF36_pain,0.6678300887065971,0.5657879788046125,0.23541677504001082,0.5601516159431961,1.0,0.27713169867856746,0.39679569702025996,0.3869958058499724,0.3930838901102997,-0.2941079649755147,0.04739231287345645
GAD2,0.19206902393104716,0.25422420124437106,0.5172818304623574,0.3829207948739507,0.27713169867856746,1.0,0.6486903922989594,0.2664616062158455,0.25185162597171457,-0.12840519065053327,0.0011336872618845548
PHQ2,0.3530010579762587,0.34951416448750305,0.5300623590679646,0.515257230531779,0.39679569702025996,0.6486903922989594,1.0,0.37564195625630703,0.34718459228914317,-0.16644488520843534,0.02813784464709594
subj_memory,0.4523096235742505,0.430402737482869,0.2865356402397355,0.5444425170392881,0.3869958058499724,0.2664616062158455,0.37564195625630703,1.0,0.5408807448921816,-0.30295074304840247,-0.048996738995467776
subj_baseline,0.4423036356503362,0.5271324628007087,0.3346399874149842,0.5702536408987359,0.3930838901102997,0.25185162597171457,0.34718459228914317,0.5408807448921816,1.0,-0.35325819344630094,-0.056809639764835725
WHO_COVID_severity,-0.38336040847114766,-0.373985573418952,-0.14152226016009944,-0.328413742446172,-0.2941079649755147,-0.12840519065053327,-0.16644488520843534,-0.30295074304840247,-0.35325819344630094,1.0,0.14263835299861116
days_since_+test,-0.009228333656095752,0.07984309644633415,-0.0010310965723868014,-0.005407593182371514,0.04739231287345645,0.0011336872618845548,0.02813784464709594,-0.048996738995467776,-0.056809639764835725,0.14263835299861116,1.0
